County,State,Sale Type,Platform,Auction Registration URL,2026 Sale Date / Window,Format,Notes,Source URL,Auction Date
Jefferson,AL,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Jefferson County, AL — Birmingham and Bessemer divisions)",Confirm current year date with county — prior years held in May (e.g. May 5–May 14 range historically),Online only — no in-person registration or auction,Two divisions (Bessemer and Birmingham) may have separate sale dates; both run via GovEase.,https://www.jccal.org/Default.asp?ID=2350&pg=Tax,
Madison,AL,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Madison County, AL)",Registration opens 30 days prior to auction; confirm exact 2026 date with county,Online,First right of refusal to repurchase the lien at the same rate the following year if the property becomes delinquent again.,https://www.madisoncountyal.gov/departments/tax-collector/tax-sale,
Mobile,AL,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Mobile County, AL)","May 11, 2026, 8:30am–4:00pm CDT (continues daily until complete)",Online,"Annual sale held between March 1 and June 15; parcel list published no later than March 30, 2026.",https://mobilecopropertytax.com/taxliensale/,2026-05-11
Shelby,AL,Tax lien certificate,GovEase,http://taxlienauction.shelbyal.com/ (links to GovEase registration),"Registration opened March 3, closed March 30, 2026",Online,"Dedicated county subdomain for tax lien info, registration handled via GovEase.",http://taxlienauction.shelbyal.com/,2026-03-30
Tuscaloosa,AL,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Tuscaloosa County, AL)","April 29, 2026, 9:00am (continues until complete)",Online,"Max bid 12% simple interest, prorated monthly; lowest acceptable bid 0%.",https://www.tuscco.com/government/departments/tax-collector/tax-lien-sale/,2026-04-29
Coconino,AZ,Tax lien certificate,RealAuction (coconino.arizonataxsale.com),https://coconino.arizonataxsale.com,"February 10, 2026 (2026 sale already held)",Online,Property list advertised in the Arizona Daily Sun ~3 weeks before sale.,https://www.coconino.az.gov/376/Tax-Liens,2026-02-10
Maricopa,AZ,Tax lien certificate,RealAuction (maricopa.arizonataxsale.com),https://maricopa.arizonataxsale.com,"February 10, 2026 (2026 sale already held)",Online,"Bidding opened Jan 16, 2026; $500 minimum deposit; rate bid down in 1% increments from 16%.",https://hometaxsale.com/auction/az/maricopa,2026-02-10
Pima,AZ,Tax lien certificate,RealAuction,https://www.to.pima.gov/taxLienSale/ (registers via RealAuction),"Registration Feb 2–19, 2026; bidding closed Feb 26, 2026 (2026 sale already held)",Online only,"2025 average winning bid was ~6% across 3,195 certificates sold, well below the 16% statutory max.",https://www.to.pima.gov/,2026-02-26
Alameda,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/AlamedaMar26,"March 20–23, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-03-23
Amador,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/AmadorMar26,"March 9–11, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-03-11
Butte,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/ButteJun26,"June 5–8, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-06-08
Calaveras,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/CalaverasJan26Reoffer,"January 23–26, 2026 (re-offer auction)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-01-26
Imperial,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/ImperialFeb26,"February 20–23, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-02-23
Lassen,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/LassenMay26,"May 15–18, 2026 (re-offer June 12–15, 2026)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-06-15
Madera,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/MaderaMay26,"May 11–14, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-05-14
Modoc,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/ModocMay26,"May 15–18, 2026 (re-offer June 12–15, 2026)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-06-15
Monterey,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/MontereyMar26,"March 21–25, 2026 (re-offer May 23–27, 2026)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-05-27
Riverside,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/county-tax-sales (specific storefront link not yet published),"April 23–28, 2026",Online,Pulled from Bid4Assets' live 2026 calendar; missed in first pass.,https://www.bid4assets.com/county-tax-sales,2026-04-28
San Joaquin,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/SanJoaquinMar26,"March 11–12, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-03-12
Santa Clara,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/county-tax-sales (specific storefront link not yet published),"October 23–26, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-10-26
Santa Cruz,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/SantaCruzJun26,"June 5–8, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-06-08
Shasta,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/ShastaFeb26,"February 20 & 27, 2026 (main + re-offer)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-02-27
